date,cy_date,year,month_name,date_yy_mmm,product_code,customer_code,market_code,order_date,sales_qty,sales_amount,currency,profit_margin_percentage,profit_margin,cost_price
2020-01-31,2020-01-01,2020,January,"20-Jan",Prod131,Cus020,Mark011,2020-01-31,1,204,INR,-0.09,-18.36,222.36
2020-01-08,2020-01-01,2020,January,"20-Jan",Prod280,Cus020,Mark011,2020-01-08,1,106,INR,0.27,28.62,77.38
2020-01-13,2020-01-01,2020,January,"20-Jan",Prod292,Cus020,Mark011,2020-01-13,1,106,INR,0.15,15.9,90.1
2020-01-16,2020-01-01,2020,January,"20-Jan",Prod295,Cus020,Mark011,2020-01-16,1,106,INR,-0.18,-19.08,125.08
2020-01-20,2020-01-01,2020,January,"20-Jan",Prod295,Cus020,Mark011,2020-01-20,1,106,INR,0.34,36.04,69.96
2020-01-03,2020-01-01,2020,January,"20-Jan",Prod271,Cus020,Mark011,2020-01-03,1,69,INR,0.26,17.94,51.06
2020-01-09,2020-01-01,2020,January,"20-Jan",Prod271,Cus020,Mark011,2020-01-09,1,69,INR,0.29,20.01,48.99
2020-01-17,2020-01-01,2020,January,"20-Jan",Prod271,Cus020,Mark011,2020-01-17,1,69,INR,-0.19,-13.11,82.11
2020-01-21,2020-01-01,2020,January,"20-Jan",Prod286,Cus020,Mark011,2020-01-21,1,69,INR,-0.04,-2.76,71.76
2020-01-16,2020-01-01,2020,January,"20-Jan",Prod263,Cus020,Mark011,2020-01-16,1,69,INR,-0.33,-22.77,91.77
2020-01-27,2020-01-01,2020,January,"20-Jan",Prod263,Cus020,Mark011,2020-01-27,1,69,INR,0.07,4.83,64.17
2020-01-31,2020-01-01,2020,January,"20-Jan",Prod263,Cus020,Mark011,2020-01-31,1,69,INR,-0.03,-2.07,71.07
2020-01-10,2020-01-01,2020,January,"20-Jan",Prod056,Cus020,Mark011,2020-01-10,1,185,INR,-0.32,-59.2,244.2
2020-01-13,2020-01-01,2020,January,"20-Jan",Prod300,Cus020,Mark011,2020-01-13,1,185,INR,0.1,18.5,166.5
2020-01-15,2020-01-01,2020,January,"20-Jan",Prod296,Cus020,Mark011,2020-01-15,1,185,INR,0.34,62.9,122.1
2020-01-21,2020-01-01,2020,January,"20-Jan",Prod296,Cus020,Mark011,2020-01-21,1,185,INR,0.23,42.55,142.45
2020-01-22,2020-01-01,2020,January,"20-Jan",Prod058,Cus020,Mark011,2020-01-22,1,185,INR,-0.04,-7.4,192.4
2020-01-22,2020-01-01,2020,January,"20-Jan",Prod296,Cus020,Mark011,2020-01-22,1,185,INR,0.34,62.9,122.1
2020-01-31,2020-01-01,2020,January,"20-Jan",Prod297,Cus020,Mark011,2020-01-31,1,185,INR,-0.27,-49.95,234.95
2020-01-02,2020-01-01,2020,January,"20-Jan",Prod295,Cus020,Mark011,2020-01-02,1,130,INR,0.19,24.7,105.3
2020-01-08,2020-01-01,2020,January,"20-Jan",Prod286,Cus020,Mark011,2020-01-08,1,130,INR,-0.1,-13,143
2020-01-17,2020-01-01,2020,January,"20-Jan",Prod300,Cus020,Mark011,2020-01-17,1,130,INR,-0.35,-45.5,175.5
2020-01-09,2020-01-01,2020,January,"20-Jan",Prod275,Cus020,Mark011,2020-01-09,1,125,INR,-0.08,-10,135
2020-01-13,2020-01-01,2020,January,"20-Jan",Prod281,Cus020,Mark011,2020-01-13,1,125,INR,0.14,17.5,107.5
2020-01-16,2020-01-01,2020,January,"20-Jan",Prod265,Cus020,Mark011,2020-01-16,1,125,INR,-0.23,-28.75,153.75
2020-01-16,2020-01-01,2020,January,"20-Jan",Prod267,Cus020,Mark011,2020-01-16,1,125,INR,-0.28,-35,160
2020-01-21,2020-01-01,2020,January,"20-Jan",Prod265,Cus020,Mark011,2020-01-21,1,125,INR,-0.21,-26.25,151.25
2020-01-22,2020-01-01,2020,January,"20-Jan",Prod265,Cus020,Mark011,2020-01-22,1,125,INR,0.27,33.75,91.25
2020-01-27,2020-01-01,2020,January,"20-Jan",Prod265,Cus020,Mark011,2020-01-27,1,125,INR,0,0,125
2020-01-27,2020-01-01,2020,January,"20-Jan",Prod267,Cus020,Mark011,2020-01-27,1,125,INR,0.21,26.25,98.75
2020-01-30,2020-01-01,2020,January,"20-Jan",Prod227,Cus020,Mark011,2020-01-30,1,125,INR,-0.28,-35,160
2020-01-30,2020-01-01,2020,January,"20-Jan",Prod267,Cus020,Mark011,2020-01-30,1,125,INR,-0.24,-30,155
2020-01-31,2020-01-01,2020,January,"20-Jan",Prod267,Cus020,Mark011,2020-01-31,1,125,INR,-0.09,-11.25,136.25
2020-01-13,2020-01-01,2020,January,"20-Jan",Prod270,Cus020,Mark011,2020-01-13,1,116,INR,-0.34,-39.44,155.44
2020-01-15,2020-01-01,2020,January,"20-Jan",Prod269,Cus020,Mark011,2020-01-15,1,116,INR,0.32,37.12,78.88
2020-01-15,2020-01-01,2020,January,"20-Jan",Prod280,Cus020,Mark011,2020-01-15,1,116,INR,-0.2,-23.2,139.2
2020-01-20,2020-01-01,2020,January,"20-Jan",Prod265,Cus020,Mark011,2020-01-20,1,116,INR,0.05,5.8,110.2
2020-01-27,2020-01-01,2020,January,"20-Jan",Prod269,Cus020,Mark011,2020-01-27,1,116,INR,-0.15,-17.4,133.4
2020-01-27,2020-01-01,2020,January,"20-Jan",Prod270,Cus020,Mark011,2020-01-27,1,116,INR,0.34,39.44,76.56
2020-01-03,2020-01-01,2020,January,"20-Jan",Prod267,Cus020,Mark011,2020-01-03,1,116,INR,-0.02,-2.32,118.32
2020-01-13,2020-01-01,2020,January,"20-Jan",Prod295,Cus020,Mark011,2020-01-13,1,111,INR,-0.26,-28.86,139.86
2020-01-15,2020-01-01,2020,January,"20-Jan",Prod279,Cus020,Mark011,2020-01-15,1,111,INR,-0.11,-12.21,123.21
2020-01-15,2020-01-01,2020,January,"20-Jan",Prod278,Cus020,Mark011,2020-01-15,1,111,INR,-0.07,-7.77,118.77
2020-01-16,2020-01-01,2020,January,"20-Jan",Prod279,Cus020,Mark011,2020-01-16,1,111,INR,-0.27,-29.97,140.97
2020-01-21,2020-01-01,2020,January,"20-Jan",Prod279,Cus020,Mark011,2020-01-21,1,111,INR,-0.2,-22.2,133.2
2020-01-21,2020-01-01,2020,January,"20-Jan",Prod294,Cus020,Mark011,2020-01-21,1,111,INR,0.13,14.43,96.57
2020-01-30,2020-01-01,2020,January,"20-Jan",Prod294,Cus020,Mark011,2020-01-30,1,111,INR,0.3,33.3,77.7
2020-01-08,2020-01-01,2020,January,"20-Jan",Prod264,Cus020,Mark011,2020-01-08,1,83,INR,0.03,2.49,80.51
2020-01-16,2020-01-01,2020,January,"20-Jan",Prod281,Cus020,Mark011,2020-01-16,1,83,INR,-0.34,-28.22,111.22
2020-01-16,2020-01-01,2020,January,"20-Jan",Prod288,Cus020,Mark011,2020-01-16,1,83,INR,0.23,19.09,63.91
2020-01-17,2020-01-01,2020,January,"20-Jan",Prod288,Cus020,Mark011,2020-01-17,1,83,INR,0.02,1.66,81.34
2020-01-22,2020-01-01,2020,January,"20-Jan",Prod281,Cus020,Mark011,2020-01-22,1,83,INR,-0.13,-10.79,93.79
2020-01-22,2020-01-01,2020,January,"20-Jan",Prod288,Cus020,Mark011,2020-01-22,1,83,INR,-0.17,-14.11,97.11
2020-01-23,2020-01-01,2020,January,"20-Jan",Prod054,Cus020,Mark011,2020-01-23,1,83,INR,0.08,6.64,76.36
2020-01-28,2020-01-01,2020,January,"20-Jan",Prod121,Cus020,Mark011,2020-01-28,1,83,INR,0.07,5.81,77.19
2020-01-31,2020-01-01,2020,January,"20-Jan",Prod121,Cus020,Mark011,2020-01-31,1,83,INR,0.4,33.2,49.8
2020-01-03,2020-01-01,2020,January,"20-Jan",Prod295,Cus020,Mark011,2020-01-03,1,97,INR,0.11,10.67,86.33
2020-01-13,2020-01-01,2020,January,"20-Jan",Prod283,Cus020,Mark011,2020-01-13,1,97,INR,-0.14,-13.58,110.58
2020-01-13,2020-01-01,2020,January,"20-Jan",Prod280,Cus020,Mark011,2020-01-13,1,79,INR,-0.16,-12.64,91.64
2020-01-31,2020-01-01,2020,January,"20-Jan",Prod280,Cus020,Mark011,2020-01-31,1,79,INR,0.34,26.86,52.14
2020-01-02,2020-01-01,2020,January,"20-Jan",Prod288,Cus020,Mark011,2020-01-02,1,79,INR,0.33,26.07,52.93
2020-01-03,2020-01-01,2020,January,"20-Jan",Prod288,Cus020,Mark011,2020-01-03,1,79,INR,0,0,79
2020-01-08,2020-01-01,2020,January,"20-Jan",Prod288,Cus020,Mark011,2020-01-08,1,79,INR,0.39,30.81,48.19
2020-01-09,2020-01-01,2020,January,"20-Jan",Prod288,Cus020,Mark011,2020-01-09,1,79,INR,-0.04,-3.16,82.16
2020-01-02,2020-01-01,2020,January,"20-Jan",Prod271,Cus020,Mark011,2020-01-02,1,139,INR,-0.24,-33.36,172.36
2020-01-08,2020-01-01,2020,January,"20-Jan",Prod271,Cus020,Mark011,2020-01-08,1,139,INR,0.03,4.17,134.83
2020-01-16,2020-01-01,2020,January,"20-Jan",Prod275,Cus020,Mark011,2020-01-16,1,139,INR,0.13,18.07,120.93
2020-01-16,2020-01-01,2020,January,"20-Jan",Prod300,Cus020,Mark011,2020-01-16,1,139,INR,0.12,16.68,122.32
2020-01-20,2020-01-01,2020,January,"20-Jan",Prod286,Cus020,Mark011,2020-01-20,1,139,INR,0.2,27.8,111.2
2020-01-31,2020-01-01,2020,January,"20-Jan",Prod300,Cus020,Mark011,2020-01-31,1,139,INR,-0.18,-25.02,164.02
2020-01-10,2020-01-01,2020,January,"20-Jan",Prod295,Cus020,Mark011,2020-01-10,1,32,INR,-0.35,-11.2,43.2
2020-01-13,2020-01-01,2020,January,"20-Jan",Prod288,Cus020,Mark011,2020-01-13,1,167,INR,-0.07,-11.69,178.69
2020-01-15,2020-01-01,2020,January,"20-Jan",Prod288,Cus020,Mark011,2020-01-15,1,167,INR,0.12,20.04,146.96
2020-01-15,2020-01-01,2020,January,"20-Jan",Prod294,Cus020,Mark011,2020-01-15,1,167,INR,0.14,23.38,143.62
2020-01-20,2020-01-01,2020,January,"20-Jan",Prod288,Cus020,Mark011,2020-01-20,1,167,INR,-0.26,-43.42,210.42
2020-01-21,2020-01-01,2020,January,"20-Jan",Prod288,Cus020,Mark011,2020-01-21,1,167,INR,0.36,60.12,106.88
2020-01-22,2020-01-01,2020,January,"20-Jan",Prod294,Cus020,Mark011,2020-01-22,1,167,INR,-0.29,-48.43,215.43
2020-01-31,2020-01-01,2020,January,"20-Jan",Prod281,Cus020,Mark011,2020-01-31,1,167,INR,0.02,3.34,163.66
2020-01-09,2020-01-01,2020,January,"20-Jan",Prod280,Cus020,Mark011,2020-01-09,1,37,INR,-0.16,-5.92,42.92
2020-01-09,2020-01-01,2020,January,"20-Jan",Prod281,Cus020,Mark011,2020-01-09,1,37,INR,-0.17,-6.29,43.29
2020-01-10,2020-01-01,2020,January,"20-Jan",Prod280,Cus020,Mark011,2020-01-10,1,37,INR,-0.03,-1.11,38.11
2020-01-10,2020-01-01,2020,January,"20-Jan",Prod281,Cus020,Mark011,2020-01-10,1,37,INR,-0.01,-0.37,37.37
2020-01-15,2020-01-01,2020,January,"20-Jan",Prod295,Cus020,Mark011,2020-01-15,1,37,INR,-0.06,-2.22,39.22
2020-01-16,2020-01-01,2020,January,"20-Jan",Prod280,Cus020,Mark011,2020-01-16,1,37,INR,-0.32,-11.84,48.84
2020-01-21,2020-01-01,2020,January,"20-Jan",Prod280,Cus020,Mark011,2020-01-21,1,37,INR,-0.19,-7.03,44.03
2020-01-21,2020-01-01,2020,January,"20-Jan",Prod295,Cus020,Mark011,2020-01-21,1,37,INR,-0.23,-8.51,45.51
2020-01-22,2020-01-01,2020,January,"20-Jan",Prod280,Cus020,Mark011,2020-01-22,1,37,INR,0.03,1.11,35.89
2020-01-17,2020-01-01,2020,January,"20-Jan",Prod270,Cus020,Mark011,2020-01-17,1,213,INR,-0.34,-72.42,285.42
2020-01-29,2020-01-01,2020,January,"20-Jan",Prod295,Cus020,Mark011,2020-01-29,1,213,INR,0.19,40.47,172.53
2020-01-31,2020-01-01,2020,January,"20-Jan",Prod295,Cus020,Mark011,2020-01-31,1,213,INR,0.19,40.47,172.53
2020-01-27,2020-01-01,2020,January,"20-Jan",Prod281,Cus020,Mark011,2020-01-27,1,162,INR,0.3,48.6,113.4
2020-01-20,2020-01-01,2020,January,"20-Jan",Prod294,Cus020,Mark011,2020-01-20,1,157,INR,0.38,59.66,97.34
2020-01-27,2020-01-01,2020,January,"20-Jan",Prod280,Cus020,Mark011,2020-01-27,1,157,INR,-0.24,-37.68,194.68
2020-01-03,2020-01-01,2020,January,"20-Jan",Prod280,Cus020,Mark011,2020-01-03,1,74,INR,-0.15,-11.1,85.1
2020-01-08,2020-01-01,2020,January,"20-Jan",Prod281,Cus020,Mark011,2020-01-08,1,74,INR,0.23,17.02,56.98
2020-01-17,2020-01-01,2020,January,"20-Jan",Prod280,Cus020,Mark011,2020-01-17,1,74,INR,0.39,28.86,45.14
2020-01-20,2020-01-01,2020,January,"20-Jan",Prod280,Cus020,Mark011,2020-01-20,1,74,INR,0.15,11.1,62.9
2020-01-22,2020-01-01,2020,January,"20-Jan",Prod295,Cus020,Mark011,2020-01-22,1,74,INR,0.33,24.42,49.58
2020-01-30,2020-01-01,2020,January,"20-Jan",Prod263,Cus020,Mark011,2020-01-30,1,74,INR,0.29,21.46,52.54
2020-01-02,2020-01-01,2020,January,"20-Jan",Prod056,Cus020,Mark011,2020-01-02,1,93,INR,-0.19,-17.67,110.67
2020-01-17,2020-01-01,2020,January,"20-Jan",Prod056,Cus020,Mark011,2020-01-17,1,93,INR,-0.23,-21.39,114.39
2020-01-20,2020-01-01,2020,January,"20-Jan",Prod056,Cus020,Mark011,2020-01-20,1,93,INR,0.25,23.25,69.75
2020-01-22,2020-01-01,2020,January,"20-Jan",Prod300,Cus020,Mark011,2020-01-22,1,93,INR,-0.09,-8.37,101.37
2020-01-27,2020-01-01,2020,January,"20-Jan",Prod300,Cus020,Mark011,2020-01-27,1,93,INR,-0.09,-8.37,101.37
2020-01-02,2020-01-01,2020,January,"20-Jan",Prod263,Cus020,Mark011,2020-01-02,1,134,INR,-0.02,-2.68,136.68
2020-01-20,2020-01-01,2020,January,"20-Jan",Prod263,Cus020,Mark011,2020-01-20,1,134,INR,0.09,12.06,121.94
2020-01-02,2020-01-01,2020,January,"20-Jan",Prod058,Cus020,Mark011,2020-01-02,1,190,INR,-0.27,-51.3,241.3
2020-01-02,2020-01-01,2020,January,"20-Jan",Prod286,Cus020,Mark011,2020-01-02,1,259,INR,-0.1,-25.9,284.9
2020-01-03,2020-01-01,2020,January,"20-Jan",Prod054,Cus020,Mark011,2020-01-03,1,282,INR,0.08,22.56,259.44
2020-01-03,2020-01-01,2020,January,"20-Jan",Prod300,Cus020,Mark011,2020-01-03,1,42,INR,0.03,1.26,40.74
2020-01-07,2020-01-01,2020,January,"20-Jan",Prod056,Cus020,Mark011,2020-01-07,1,375,INR,0.19,71.25,303.75
2020-01-07,2020-01-01,2020,January,"20-Jan",Prod065,Cus020,Mark011,2020-01-07,1,190,INR,0.27,51.3,138.7
2020-01-07,2020-01-01,2020,January,"20-Jan",Prod300,Cus020,Mark011,2020-01-07,1,42,INR,-0.17,-7.14,49.14
2020-01-08,2020-01-01,2020,January,"20-Jan",Prod056,Cus020,Mark011,2020-01-08,1,278,INR,-0.12,-33.36,311.36
2020-01-08,2020-01-01,2020,January,"20-Jan",Prod058,Cus020,Mark011,2020-01-08,1,380,INR,0.24,91.2,288.8
2020-01-09,2020-01-01,2020,January,"20-Jan",Prod065,Cus020,Mark011,2020-01-09,1,190,INR,0.25,47.5,142.5
2020-01-13,2020-01-01,2020,January,"20-Jan",Prod286,Cus020,Mark011,2020-01-13,1,144,INR,0.32,46.08,97.92
2020-01-14,2020-01-01,2020,January,"20-Jan",Prod058,Cus020,Mark011,2020-01-14,1,343,INR,-0.07,-24.01,367.01
2020-01-15,2020-01-01,2020,January,"20-Jan",Prod065,Cus020,Mark011,2020-01-15,1,417,INR,-0.3,-125.1,542.1
2020-01-15,2020-01-01,2020,January,"20-Jan",Prod264,Cus020,Mark011,2020-01-15,1,176,INR,-0.06,-10.56,186.56
2020-01-15,2020-01-01,2020,January,"20-Jan",Prod281,Cus020,Mark011,2020-01-15,1,42,INR,-0.35,-14.7,56.7
2020-01-16,2020-01-01,2020,January,"20-Jan",Prod264,Cus020,Mark011,2020-01-16,1,88,INR,-0.02,-1.76,89.76
2020-01-16,2020-01-01,2020,January,"20-Jan",Prod286,Cus020,Mark011,2020-01-16,1,278,INR,0.11,30.58,247.42
2020-01-17,2020-01-01,2020,January,"20-Jan",Prod058,Cus020,Mark011,2020-01-17,1,685,INR,0.24,164.4,520.6
2020-01-17,2020-01-01,2020,January,"20-Jan",Prod065,Cus020,Mark011,2020-01-17,1,190,INR,-0.19,-36.1,226.1
2020-01-17,2020-01-01,2020,January,"20-Jan",Prod281,Cus020,Mark011,2020-01-17,1,153,INR,0.4,61.2,91.8
2020-01-20,2020-01-01,2020,January,"20-Jan",Prod058,Cus020,Mark011,2020-01-20,1,343,INR,0.34,116.62,226.38
2020-01-20,2020-01-01,2020,January,"20-Jan",Prod264,Cus020,Mark011,2020-01-20,1,88,INR,0.25,22,66
2020-01-20,2020-01-01,2020,January,"20-Jan",Prod281,Cus020,Mark011,2020-01-20,1,199,INR,0.11,21.89,177.11
2020-01-20,2020-01-01,2020,January,"20-Jan",Prod300,Cus020,Mark011,2020-01-20,1,42,INR,-0.26,-10.92,52.92
2020-01-21,2020-01-01,2020,January,"20-Jan",Prod054,Cus020,Mark011,2020-01-21,1,255,INR,0.39,99.45,155.55
2020-01-21,2020-01-01,2020,January,"20-Jan",Prod281,Cus020,Mark011,2020-01-21,1,42,INR,-0.26,-10.92,52.92
2020-01-21,2020-01-01,2020,January,"20-Jan",Prod300,Cus020,Mark011,2020-01-21,1,46,INR,0.16,7.36,38.64
2020-01-22,2020-01-01,2020,January,"20-Jan",Prod264,Cus020,Mark011,2020-01-22,1,264,INR,0.25,66,198
2020-01-22,2020-01-01,2020,January,"20-Jan",Prod270,Cus020,Mark011,2020-01-22,1,231,INR,0.17,39.27,191.73
2020-01-23,2020-01-01,2020,January,"20-Jan",Prod300,Cus020,Mark011,2020-01-23,1,46,INR,-0.15,-6.9,52.9
2020-01-24,2020-01-01,2020,January,"20-Jan",Prod263,Cus020,Mark011,2020-01-24,1,287,INR,-0.12,-34.44,321.44
2020-01-24,2020-01-01,2020,January,"20-Jan",Prod264,Cus020,Mark011,2020-01-24,1,352,INR,0.32,112.64,239.36
2020-01-24,2020-01-01,2020,January,"20-Jan",Prod270,Cus020,Mark011,2020-01-24,1,347,INR,0.14,48.58,298.42
2020-01-24,2020-01-01,2020,January,"20-Jan",Prod281,Cus020,Mark011,2020-01-24,1,245,INR,0.16,39.2,205.8
2020-01-24,2020-01-01,2020,January,"20-Jan",Prod227,Cus020,Mark011,2020-01-24,1,315,INR,-0.03,-9.45,324.45
2020-01-27,2020-01-01,2020,January,"20-Jan",Prod058,Cus020,Mark011,2020-01-27,1,611,INR,0.25,152.75,458.25
2020-01-27,2020-01-01,2020,January,"20-Jan",Prod264,Cus020,Mark011,2020-01-27,1,88,INR,0.19,16.72,71.28
2020-01-28,2020-01-01,2020,January,"20-Jan",Prod056,Cus020,Mark011,2020-01-28,1,301,INR,0.4,120.4,180.6
2020-01-28,2020-01-01,2020,January,"20-Jan",Prod264,Cus020,Mark011,2020-01-28,1,88,INR,0.14,12.32,75.68
2020-01-28,2020-01-01,2020,January,"20-Jan",Prod270,Cus020,Mark011,2020-01-28,1,347,INR,-0.32,-111.04,458.04
2020-01-28,2020-01-01,2020,January,"20-Jan",Prod280,Cus020,Mark011,2020-01-28,1,231,INR,0.33,76.23,154.77
2020-01-28,2020-01-01,2020,January,"20-Jan",Prod281,Cus020,Mark011,2020-01-28,1,287,INR,0.38,109.06,177.94
2020-01-28,2020-01-01,2020,January,"20-Jan",Prod295,Cus020,Mark011,2020-01-28,1,176,INR,0.31,54.56,121.44
2020-01-29,2020-01-01,2020,January,"20-Jan",Prod056,Cus020,Mark011,2020-01-29,1,301,INR,-0.16,-48.16,349.16
2020-01-29,2020-01-01,2020,January,"20-Jan",Prod105,Cus020,Mark011,2020-01-29,1,120,INR,0.32,38.4,81.6
2020-01-29,2020-01-01,2020,January,"20-Jan",Prod263,Cus020,Mark011,2020-01-29,1,287,INR,0.31,88.97,198.03
2020-01-30,2020-01-01,2020,January,"20-Jan",Prod105,Cus020,Mark011,2020-01-30,1,421,INR,-0.09,-37.89,458.89
2020-01-30,2020-01-01,2020,January,"20-Jan",Prod270,Cus020,Mark011,2020-01-30,1,231,INR,0.24,55.44,175.56
2020-01-30,2020-01-01,2020,January,"20-Jan",Prod280,Cus020,Mark011,2020-01-30,1,273,INR,0.34,92.82,180.18
2020-01-30,2020-01-01,2020,January,"20-Jan",Prod281,Cus020,Mark011,2020-01-30,1,287,INR,0.04,11.48,275.52
2020-01-30,2020-01-01,2020,January,"20-Jan",Prod295,Cus020,Mark011,2020-01-30,1,181,INR,0.08,14.48,166.52
2020-01-31,2020-01-01,2020,January,"20-Jan",Prod058,Cus020,Mark011,2020-01-31,1,731,INR,-0.15,-109.65,840.65
2020-01-13,2020-01-01,2020,January,"20-Jan",Prod269,Cus020,Mark011,2020-01-13,1,236,INR,0.07,16.52,219.48
2020-01-17,2020-01-01,2020,January,"20-Jan",Prod269,Cus020,Mark011,2020-01-17,1,222,INR,0.01,2.22,219.78
2020-01-22,2020-01-01,2020,January,"20-Jan",Prod269,Cus020,Mark011,2020-01-22,1,352,INR,-0.2,-70.4,422.4
2020-01-24,2020-01-01,2020,January,"20-Jan",Prod269,Cus020,Mark011,2020-01-24,1,588,INR,0.35,205.8,382.2
2020-01-28,2020-01-01,2020,January,"20-Jan",Prod269,Cus020,Mark011,2020-01-28,1,352,INR,0.22,77.44,274.56
2020-01-30,2020-01-01,2020,January,"20-Jan",Prod269,Cus020,Mark011,2020-01-30,1,231,INR,0.12,27.72,203.28
2020-01-31,2020-01-01,2020,January,"20-Jan",Prod269,Cus020,Mark011,2020-01-31,1,231,INR,0.2,46.2,184.8
2020-01-27,2020-01-01,2020,January,"20-Jan",Prod288,Cus020,Mark011,2020-01-27,1,250,INR,-0.11,-27.5,277.5
2020-01-28,2020-01-01,2020,January,"20-Jan",Prod288,Cus020,Mark011,2020-01-28,1,250,INR,0.35,87.5,162.5
2020-01-09,2020-01-01,2020,January,"20-Jan",Prod294,Cus020,Mark011,2020-01-09,1,51,INR,0.38,19.38,31.62
2020-01-10,2020-01-01,2020,January,"20-Jan",Prod294,Cus020,Mark011,2020-01-10,1,51,INR,0.28,14.28,36.72
2020-01-13,2020-01-01,2020,January,"20-Jan",Prod294,Cus020,Mark011,2020-01-13,1,56,INR,0.18,10.08,45.92
2020-01-16,2020-01-01,2020,January,"20-Jan",Prod294,Cus020,Mark011,2020-01-16,1,222,INR,0.21,46.62,175.38
2020-01-23,2020-01-01,2020,January,"20-Jan",Prod294,Cus020,Mark011,2020-01-23,1,56,INR,-0.33,-18.48,74.48
2020-01-13,2020-01-01,2020,January,"20-Jan",Prod279,Cus020,Mark011,2020-01-13,1,444,INR,-0.09,-39.96,483.96
2020-01-17,2020-01-01,2020,January,"20-Jan",Prod279,Cus020,Mark011,2020-01-17,1,306,INR,-0.23,-70.38,376.38
2020-01-24,2020-01-01,2020,January,"20-Jan",Prod279,Cus020,Mark011,2020-01-24,1,222,INR,-0.14,-31.08,253.08
2020-01-28,2020-01-01,2020,January,"20-Jan",Prod279,Cus020,Mark011,2020-01-28,1,556,INR,0.19,105.64,450.36
